YEAR,Team,GP,Att,Yds,Avg,Yds/G,TD,Big,Fum,FumL,Stuff,Yds
2003,WSH,16,421,1653,3.9,103.3,8,34,7,3,34,-70
2004,WSH,16,471,1765,3.7,110.3,6,44,9,5,47,-139
2005,WSH,16,525,2183,4.2,136.4,15,54,10,7,37,-70
2006,WSH,16,490,2216,4.5,138.5,13,75,12,4,47,-108
2007,WSH,16,498,1871,3.8,116.9,15,51,16,8,50,-97
2008,WSH,16,478,2095,4.4,130.9,12,53,6,6,43,-75
2009,WSH,16,391,1510,3.9,94.4,8,36,7,2,29,-60
2010,WSH,16,351,1461,4.2,91.3,9,49,6,2,53,-141
2011,WSH,16,400,1614,4,100.9,8,40,5,1,34,-70
2012,WSH,16,519,2709,5.2,169.3,22,88,13,5,44,-112
2013,WSH,16,453,2164,4.8,135.3,14,61,11,5,45,-89
2014,WSH,16,401,1691,4.2,105.7,15,49,9,2,41,-100
2015,WSH,16,429,1566,3.7,97.9,9,32,11,4,53,-93
2016,WSH,16,379,1696,4.5,106,17,44,7,4,33,-77
2017,WSH,16,401,1448,3.6,90.5,10,36,10,3,47,-100
